,0
ENSG00000106080.9,10
ENSG00000198400.10,6
ENSG00000064652.9,15
ENSG00000082397.14,25
ENSG00000183828.13,20
ENSG00000280194.1,26
ENSG00000106823.11,6
ENSG00000125821.10,37
ENSG00000167767.12,38
ENSG00000204610.11,26
ENSG00000162174.11,6
ENSG00000198865.8,55
ENSG00000120756.11,2
ENSG00000000971.14,27
ENSG00000137819.12,3
ENSG00000242516.1,23
ENSG00000144868.12,1
ENSG00000147180.15,4
ENSG00000196735.10,16
ENSG00000149292.15,1
ENSG00000132970.11,7
ENSG00000272620.1,10
ENSG00000158966.12,48
ENSG00000271474.1,124
ENSG00000254109.4,31
ENSG00000085063.13,13
ENSG00000164070.10,8
ENSG00000106772.16,24
ENSG00000072134.14,3
ENSG00000161055.3,5
ENSG00000170293.7,2
ENSG00000254314.1,92
ENSG00000155366.15,1
ENSG00000123358.18,4
ENSG00000198483.11,19
ENSG00000143839.13,3
ENSG00000105737.8,77
ENSG00000154025.14,10
ENSG00000132205.9,83
ENSG00000238098.7,29
ENSG00000102024.16,2
ENSG00000178498.14,3
ENSG00000166444.16,3
ENSG00000075073.13,4
ENSG00000142235.7,15
ENSG00000128641.16,16
ENSG00000196296.12,17
ENSG00000161681.14,25
ENSG00000102804.13,3
ENSG00000280303.2,9
ENSG00000279692.1,10
ENSG00000117318.8,13
ENSG00000259242.2,6
ENSG00000198547.7,28
ENSG00000114026.20,7
ENSG00000138030.11,2
ENSG00000162873.13,5
ENSG00000079691.16,17
ENSG00000046889.17,18
ENSG00000177034.13,6
ENSG00000179097.5,34
ENSG00000221869.4,13
ENSG00000223764.2,37
ENSG00000188659.8,18
ENSG00000268027.4,3
ENSG00000122548.5,32
ENSG00000197847.11,14
ENSG00000079308.15,8
ENSG00000073754.5,3
ENSG00000166482.10,28
ENSG00000136153.18,16
ENSG00000182218.8,5
ENSG00000230699.2,2
ENSG00000155980.10,13
ENSG00000127329.13,2
ENSG00000108924.12,10
ENSG00000085276.16,20
ENSG00000196139.10,14
ENSG00000144550.11,3
ENSG00000145908.11,1
ENSG00000114948.11,2
ENSG00000149927.16,3
ENSG00000134827.6,3
ENSG00000272382.1,4
ENSG00000163519.12,20
ENSG00000145685.12,34
ENSG00000198719.8,16
ENSG00000154277.11,26
ENSG00000140416.18,20
ENSG00000130821.14,4
ENSG00000230266.1,5
ENSG00000107957.15,5
ENSG00000064687.11,2
ENSG00000163751.3,11
ENSG00000118407.13,19
ENSG00000101605.11,6
ENSG00000165072.9,9
ENSG00000008056.11,16
ENSG00000087245.11,5
ENSG00000167880.6,3
ENSG00000143891.15,1
ENSG00000160447.6,11
ENSG00000140451.11,10
ENSG00000066926.9,2
ENSG00000070182.16,2
ENSG00000188002.9,26
ENSG00000158578.17,2
ENSG00000260592.1,4
ENSG00000213088.8,15
ENSG00000206172.7,3
ENSG00000156535.12,12
ENSG00000050327.13,30
ENSG00000260685.1,13
ENSG00000196141.11,7
ENSG00000131187.8,10
ENSG00000175449.12,2
ENSG00000182183.13,1
ENSG00000117400.13,16
ENSG00000137266.13,13
ENSG00000125355.14,5
ENSG00000180537.11,12
ENSG00000150510.14,7
ENSG00000241535.1,1
ENSG00000196586.12,9
ENSG00000150782.10,8
